Date,PM2.5,NO2,O3,temperature,humidity
28/10/2018,5.639143731,38.62996942,58.29969419,15.01529052,39.89602446
28/10/2018,5.678899083,49.62079511,50.11009174,15.09174312,39.29051988
28/10/2018,5.598130841,60.48909657,44.11838006,16.07165109,37.59190031
28/10/2018,5.511904762,65.43154762,44.03571429,16.16666667,36.81547619
28/10/2018,5.73006135,77.05521472,38.6196319,15.06441718,38.10736196
28/10/2018,5.839506173,85.38271605,30.73148148,13.42901235,42.82098765
28/10/2018,5.799410029,100.8023599,12.3480826,11.93510324,47.03244838
28/10/2018,5.832817337,101.3188854,5.383900929,10.56346749,50.59442724
28/10/2018,6.472392638,97.9202454,4.524539877,9.59202454,52.65337423
28/10/2018,7.821428571,103.8869048,3.610119048,8.666666667,55.49404762
28/10/2018,7.4,94.96923077,2.470769231,7.563076923,58.09538462
28/10/2018,7.149390244,89.72256098,1.588414634,7.042682927,59.33536585
28/10/2018,6.91641791,79.95820896,1.050746269,6.217910448,60.55820896
28/10/2018,6.893292683,69.97560976,0.87195122,5.801829268,61.24695122
29/10/2018,6.972560976,60.42987805,0.829268293,5.158536585,61.87195122
29/10/2018,6.16119403,59.74029851,2.734328358,5.68358209,62.04179104
29/10/2018,6.171779141,61.14417178,0.739263804,6,61.53374233
29/10/2018,5.737804878,61.00304878,1.195121951,6.027439024,62.39939024
29/10/2018,5.597597598,68.02102102,3.21021021,7.108108108,64.52552553
29/10/2018,5.489296636,92.59633028,4.339449541,8.113149847,62.78593272
29/10/2018,5.795031056,99.46583851,4.055900621,9.319875776,57.92236025
29/10/2018,5.808383234,104.5598802,4.050898204,10.32335329,53.25449102
29/10/2018,5.75617284,62.42901235,19.30555556,12.66358025,46.85802469
29/10/2018,6.268072289,48.4246988,37.06325301,12.63253012,46.92771084
29/10/2018,6.135802469,60.51234568,30.73765432,13.14197531,46.08024691
29/10/2018,6.021472393,36.15644172,52.61349693,13.94478528,38.2607362
29/10/2018,6.059701493,48.38507463,51.86567164,13.67462687,38.15522388
29/10/2018,5.850152905,52.50458716,44.62691131,14.83792049,36.56574924
29/10/2018,5.713414634,47.41768293,46.74695122,13.8902439,39.25304878
29/10/2018,5.666666667,60.76785714,31.61607143,12.11904762,43.25297619
29/10/2018,5.547400612,65.60550459,22.06116208,11.33027523,45.72171254
